"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
87,1.433,878.15881,-65.76751,1387.07947,-341.50464,-32.88169,1265.58228,-1083.30811,-29.85843,1249.62585,310.56888,80.30461,90.71712,-57.91382,-182.84070,-8.74932,-1096.24573,137.28996,-9.42679,-801.57654,-167.27776,49.79301
88,1.450,877.09949,-65.92632,1393.35620,-339.66235,-34.80182,1273.11890,-1080.72388,-34.94413,1257.29712,386.82471,74.67593,81.67696,-107.43862,-183.74185,-8.16615,-1145.92297,136.79594,-8.63866,-746.29626,-154.49826,51.00531
89,1.467,876.94031,-65.77733,1399.25476,-336.33209,-36.43233,1282.28052,-1077.38562,-39.34473,1266.49719,462.49216,69.13232,75.11684,-157.03256,-184.92685,-7.02150,-1195.80444,136.94217,-7.63967,-692.92194,-145.56013,53.30316
90,1.483,877.86005,-65.57723,1404.21436,-331.35651,-38.20125,1291.98413,-1073.87329,-42.48706,1276.03638,531.42493,68.18558,74.22594,-207.34901,-185.43625,-6.33300,-1246.36914,136.89435,-7.20122,-643.18127,-142.45529,56.45662
91,1.500,879.62714,-65.51608,1407.89636,-325.80331,-40.28790,1301.03113,-1070.44385,-44.25273,1284.69507,576.49512,71.75275,71.06241,-258.00336,-185.98422,-5.73540,-1294.80615,136.66563,-4.30144,-601.56012,-145.44167,57.14114
92,1.517,881.73224,-65.69755,1410.14722,-320.87622,-42.35668,1308.36084,-1067.25928,-45.03201,1291.59265,590.01904,75.65932,57.01602,-305.79227,-187.63817,-3.68122,-1336.78430,137.63884,4.59273,-572.27954,-152.74028,51.64226
93,1.533,883.63483,-66.07380,1410.95496,-316.99969,-43.88252,1313.22180,-1064.33972,-45.65885,1296.34082,585.04932,78.98866,36.83176,-347.96106,-189.40787,1.84276,-1371.32813,139.49896,17.10007,-555.80945,-162.40445,41.05330
94,1.550,885.01282,-66.48257,1410.36230,-313.85605,-44.74886,1315.22119,-1061.38135,-47.02032,1298.80164,572.10986,81.65668,18.46148,-379.95865,-192.17957,18.34824,-1396.94202,138.85765,29.25836,-550.64014,-172.58061,30.52829
95,1.567,885.95251,-66.82954,1408.35315,-310.93323,-45.17212,1314.32947,-1058.03198,-49.38757,1298.93823,545.07971,81.52525,7.02467,-389.68982,-199.24142,49.97850,-1408.92090,133.43578,39.39454,-555.75586,-180.95891,21.56784
96,1.583,886.96033,-67.01881,1404.91431,-307.93924,-45.22370,1310.83228,-1054.50256,-52.22603,1296.93933,501.07468,79.44019,4.14923,-370.41986,-209.91431,82.90060,-1405.44019,127.60939,45.78937,-572.65039,-185.31395,12.23296
