"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
49,0.400,915.07288,161.09656,1269.74121,-220.88188,-102.84889,1300.83643,-969.12292,22.69448,1318.36816,-328.01654,103.85246,37.57386,350.63550,-224.61615,-1.22588,-599.48627,142.56963,52.31333,-1165.66919,-151.07234,-9.57075
50,0.408,915.92413,161.62914,1264.80774,-222.76759,-102.42100,1300.58447,-971.30573,22.83419,1315.55908,-310.36462,102.74063,41.51779,337.41483,-223.71388,-1.41970,-572.96460,145.05951,48.78238,-1178.95264,-150.49872,-9.36610
51,0.417,916.79987,162.31326,1259.79089,-224.55788,-101.84042,1300.26868,-973.39453,23.21844,1312.55847,-289.26331,101.92396,44.01308,324.17410,-222.90176,-1.56670,-548.19714,149.06212,44.38857,-1192.22192,-149.72212,-9.19650
52,0.425,917.71289,163.12434,1254.74414,-226.24136,-101.12400,1299.89905,-975.35254,23.83811,1309.40869,-266.04755,101.20515,45.73087,310.90353,-222.15057,-1.63609,-525.40326,154.75330,39.27864,-1205.53442,-148.71323,-9.14254
53,0.433,918.66449,164.03720,1249.71997,-227.83488,-100.33577,1299.48779,-977.13715,24.66573,1306.13501,-241.73006,100.33209,47.24131,297.60699,-221.42612,-1.63704,-504.87878,162.06216,33.70912,-1218.95239,-147.82677,-9.13167
54,0.442,919.64270,165.03885,1244.77197,-229.36340,-99.55976,1299.05664,-978.71075,25.66561,1302.74121,-217.02681,98.95873,48.76303,284.28873,-220.72009,-1.59492,-487.05750,170.54912,28.01307,-1232.52209,-147.42020,-9.03728
55,0.450,920.62878,166.13219,1239.95313,-230.83656,-98.85060,1298.63599,-980.05603,26.80489,1299.21179,-192.31697,96.73021,50.23714,270.95956,-220.00439,-1.54233,-472.47339,179.58269,22.48924,-1246.20117,-147.30453,-8.86567
56,0.458,921.60345,167.32874,1235.31042,-232.24356,-98.21655,1298.25671,-981.17682,28.05292,1295.52124,-167.63683,93.57999,51.57596,257.61591,-219.23688,-1.49111,-461.59674,188.53645,17.26751,-1259.85718,-146.91754,-8.70517
57,0.467,922.54987,168.64044,1230.88452,-233.56786,-97.65125,1297.94031,-982.08423,29.38194,1291.64954,-142.81325,89.76353,52.80877,244.22339,-218.42377,-1.42811,-454.66083,196.82935,12.28984,-1273.41602,-145.87747,-8.62081
58,0.475,923.44934,170.07541,1226.71582,-234.79936,-97.16831,1297.69067,-982.78461,30.77988,1287.59558,-117.61778,85.57311,54.02436,230.74933,-217.60379,-1.34992,-451.51904,203.91919,7.44404,-1286.90332,-144.15741,-8.68271
59,0.483,924.27319,171.63794,1222.85193,-235.92891,-96.80206,1297.49097,-983.27911,32.25636,1283.39087,-91.85838,81.19923,55.26245,217.20288,-216.77711,-1.27234,-451.58362,209.35435,2.85277,-1300.34875,-142.08141,-8.94091
60,0.492,924.98523,173.32922,1219.34888,-236.94221,-96.58353,1297.30994,-983.56964,33.82559,1279.10803,-65.41151,76.84418,56.52167,203.63103,-215.90274,-1.22524,-454.09998,212.93074,-0.92789,-1313.81018,-140.36983,-9.27691
61,0.500,925.55768,175.14244,1216.26172,-237.82881,-96.51661,1297.10913,-983.66296,35.48530,1274.86011,-38.21550,72.71993,57.79350,190.07214,-214.96107,-1.24403,-458.86530,214.87851,-3.33343,-1327.36316,-139.61824,-9.44750
62,0.508,925.97668,177.05960,1213.63342,-238.59126,-96.57257,1296.84802,-983.56824,37.21460,1270.78638,-10.26212,68.86837,59.01746,176.51382,-213.98517,-1.33068,-466.46747,215.82007,-4.44816,-1341.02563,-139.62491,-9.36955
63,0.517,926.23291,179.05768,1211.49573,-239.24112,-96.70375,1296.48450,-983.29382,38.98353,1267.03735,18.39861,65.12782,60.08029,162.91452,-213.02367,-1.43479,-477.24640,216.44553,-4.86184,-1354.78491,-139.63464,-9.18694
64,0.525,926.31494,181.11517,1209.87915,-239.78999,-96.86313,1295.98169,-982.85205,40.75603,1263.75623,47.65817,61.32125,60.91386,149.26935,-212.09683,-1.48993,-490.36627,217.18446,-5.04803,-1368.55957,-139.02507,-9.01873
