"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
35,0.283,926.84827,-203.03738,1572.79053,-46.94162,7.20587,1278.25305,-801.01416,36.35737,1294.42041,106.85779,-180.36005,115.27949,535.70691,102.02646,-2.31470,-1056.60596,250.06839,32.48209,-566.23279,-159.17622,-10.36362
36,0.292,927.04382,-205.54462,1571.15845,-48.79119,7.51479,1273.87561,-802.22766,35.86187,1290.76343,132.77583,-182.04817,116.31926,511.60635,103.55943,-2.63249,-1030.84912,245.97153,32.59877,-590.27527,-157.48067,-10.76274
37,0.300,927.12708,-208.03656,1569.58203,-50.97295,7.66545,1269.86194,-803.48340,35.30283,1287.20898,159.52728,-183.65958,117.10522,487.66772,105.20287,-2.92331,-1003.83270,241.34660,33.44269,-614.23956,-155.75684,-11.11563
38,0.308,926.97461,-210.45074,1568.17700,-53.49844,7.63828,1266.33594,-804.78809,34.66413,1283.78430,187.25638,-185.09056,117.18498,463.87390,106.89938,-3.17770,-975.72620,236.20085,34.74195,-638.14386,-154.00966,-11.36464
39,0.317,926.49402,-212.73859,1567.04333,-56.30093,7.42985,1263.39929,-806.16791,34.00763,1280.48230,215.98051,-186.23441,116.12369,440.13382,108.56221,-3.41811,-946.73877,230.38315,36.12497,-661.99060,-152.29839,-11.50399
40,0.325,925.63452,-214.85768,1566.25159,-59.20666,7.06816,1261.10278,-807.63959,33.46137,1277.32104,245.66563,-187.07028,113.70371,416.36688,110.18531,-3.65094,-916.92114,223.82558,37.44841,-685.78918,-150.64050,-11.60332
41,0.333,924.38977,-216.77953,1565.83923,-61.99775,6.60563,1259.44348,-809.18341,33.16534,1274.39893,276.28558,-187.64491,109.96445,392.59674,111.82676,-3.87321,-886.35132,216.63504,38.85311,-709.58356,-148.98831,-11.74738
42,0.342,922.78552,-218.50708,1565.81726,-64.50004,6.10503,1258.38794,-810.72943,33.21200,1271.90637,307.83676,-188.00867,105.11082,368.92331,113.49567,-4.11835,-855.35901,208.97672,40.62498,-733.45203,-147.30991,-11.93142
43,0.350,920.86499,-220.07239,1566.17969,-66.61596,5.62622,1257.90186,-812.16162,33.61710,1270.06592,340.34689,-188.17857,99.38943,345.37836,115.17270,-4.40353,-824.46008,200.96399,42.96224,-757.45288,-145.60648,-12.07154
44,0.358,918.68127,-221.51907,1566.90820,-68.30774,5.22137,1257.96814,-813.34503,34.33182,1269.04126,373.87576,-188.11577,93.03114,321.83517,116.90732,-4.64075,-794.09241,192.72566,45.77470,-781.56042,-143.90121,-12.09017
45,0.367,916.29480,-222.89497,1567.97290,-69.57441,4.94105,1258.59009,-814.16833,35.28356,1268.88049,408.45721,-187.71783,86.28567,298.08206,118.72909,-4.70157,-764.43408,184.41994,48.69691,-805.69232,-142.20872,-11.98734
46,0.375,913.77380,-224.25967,1569.33557,-70.44273,4.82913,1259.78296,-814.58276,36.41779,1269.52747,443.97559,-186.82669,79.44836,273.97089,120.52274,-4.56117,-735.43225,176.13434,51.30186,-829.82703,-140.47791,-11.85726
47,0.383,911.19543,-225.68756,1570.95215,-70.95906,4.90260,1261.56299,-814.62250,37.71698,1270.88599,480.06094,-185.26877,72.83703,249.49124,122.17210,-4.29570,-706.97852,167.87674,53.32123,-854.04797,-138.63966,-11.78969
48,0.392,908.64276,-227.24112,1572.77051,-71.17233,5.14888,1263.93726,-814.41144,39.18488,1272.88562,516.14709,-182.93556,66.77544,224.75494,123.72533,-3.99229,-679.06189,159.69431,54.71738,-878.46765,-136.71686,-11.76990
49,0.400,906.19659,-228.93042,1574.73279,-71.11951,5.54923,1266.90027,-814.14709,40.80609,1275.50330,551.71149,-179.83141,61.58607,199.90974,125.28915,-3.71399,-651.74744,151.81935,55.60142,-903.13422,-134.81265,-11.72437
50,0.408,903.92438,-230.70999,1576.77539,-70.82185,6.09984,1270.42908,-814.02863,42.51608,1278.72852,586.46094,-176.08667,57.59343,175.04184,126.90816,-3.45909,-625.03174,144.68468,56.13466,-927.97485,-133.00620,-11.59455
51,0.417,901.87677,-232.52394,1578.83374,-70.29029,6.81045,1274.48218,-814.15192,44.20522,1282.50647,620.15576,-172.05374,55.13506,150.16098,128.61948,-3.14275,-598.79773,138.75418,56.49687,-952.88538,-131.33881,-11.34246
52,0.425,900.09735,-234.34804,1580.85181,-69.53703,7.68846,1278.99646,-814.46527,45.74830,1286.72144,652.12109,-168.35611,54.39596,125.21458,130.47128,-2.69620,-572.95349,134.33112,56.84007,-977.86047,-129.82996,-10.99918
53,0.433,898.62964,-236.18654,1582.78564,-68.58661,8.72961,1283.87939,-814.82928,47.04098,1291.22937,680.97302,-165.56021,54.95132,100.11281,132.41931,-2.16389,-547.61444,131.53061,57.19053,-1002.92377,-128.38831,-10.72099
54,0.442,897.50873,-238.04248,1584.60034,-67.47725,9.92125,1289.00098,-815.11530,48.02396,1295.89160,704.97968,-163.64671,55.49259,74.81046,134.34909,-1.65340,-523.19562,130.32837,57.32763,-1028.05701,-126.83353,-10.63203
55,0.450,896.74701,-239.90115,1586.26306,-66.25151,11.24603,1294.19690,-815.26025,48.67784,1300.58179,722.80005,-161.97841,54.42497,49.39134,136.23140,-1.24933,-500.34460,130.60695,56.76511,-1053.18762,-125.14818,-10.57042
56,0.458,896.32428,-241.73453,1587.73572,-64.94505,12.68099,1299.28918,-815.26923,48.99690,1305.17761,734.01501,-159.91010,50.95790,24.14607,138.13113,-1.02013,-479.76013,132.28433,54.94489,-1078.03784,-123.62736,-10.05286
57,0.467,896.18823,-243.51067,1588.97314,-63.58766,14.19065,1304.10925,-815.19379,48.97459,1309.54675,739.23926,-157.28772,45.44835,-0.45155,140.14162,-0.95544,-462.01480,135.41055,51.47278,-1102.08154,-122.69275,-8.45253
58,0.475,896.26746,-245.19833,1589.92761,-62.21722,15.71892,1308.51135,-815.09674,48.61513,1313.53833,739.91412,-154.32277,38.80246,-24.05783,142.38098,-0.75148,-447.38345,140.13638,46.27304,-1124.81470,-122.52835,-5.30553
59,0.483,896.48883,-246.77263,1590.55469,-60.88357,17.19856,1312.36926,-815.01074,47.96391,1317.00049,737.73071,-151.20895,31.92075,-46.81317,144.92508,0.39345,-435.75558,146.58542,39.65311,-1145.99011,-122.82453,-0.63115
60,0.492,896.78650,-248.22372,1590.81689,-59.63700,18.57188,1315.56433,-814.91461,47.14432,1319.81799,733.74231,-148.01009,25.58401,-69.00720,147.74773,3.95015,-426.77271,154.70328,32.18583,-1165.53345,-122.97249,5.03872
61,0.500,897.10809,-249.55667,1590.68115,-58.51353,19.80191,1317.98303,-814.73853,46.37167,1321.93872,727.79114,-144.76523,20.26643,-89.83673,150.81058,11.88698,-420.11215,164.20795,24.49015,-1183.30505,-122.57175,10.98738
62,0.508,897.42584,-250.77707,1590.11499,-57.51887,20.87879,1319.53479,-814.39331,45.91581,1323.37097,718.84375,-141.42522,15.81521,-106.58145,154.12738,25.48302,-415.76697,174.65768,17.11509,-1198.92175,-121.53849,16.68667
63,0.517,897.74475,-251.88048,1589.08801,-56.63280,21.81415,1320.17676,-813.81824,46.00826,1324.17249,705.96387,-137.77023,11.70911,-115.84802,157.67169,43.76293,-414.18750,185.55576,10.54648,-1211.76880,-119.87395,21.95764
64,0.525,898.09790,-252.86023,1587.57751,-55.83949,22.61907,1319.92273,-813.03070,46.73428,1324.45264,689.05347,-133.73607,7.84307,-115.95395,161.34344,63.54926,-416.15771,196.32733,5.18441,-1221.23425,-117.67913,26.86895
65,0.533,898.53455,-253.72522,1585.57104,-55.14022,23.29991,1318.83301,-812.12384,48.00505,1324.34216,668.76990,-129.74078,4.68058,-107.71179,165.13211,81.52367,-422.38870,206.18381,1.23131,-1226.85596,-115.25464,31.47486
66,0.542,899.11206,-254.50867,1583.06665,-54.53951,23.87594,1316.99963,-811.20868,49.63197,1323.92896,645.95776,-126.36651,2.59842,-93.18393,169.20947,96.13895,-433.08810,214.22635,-1.37761,-1228.26758,-113.04198,35.61007
67,0.550,899.89337,-255.25714,1580.07385,-54.04022,24.38853,1314.53296,-810.37415,51.40617,1323.23926,621.45178,-123.81631,1.49013,-74.37665,173.71872,107.67965,-448.05756,219.91829,-2.92255,-1225.24988,-111.52661,38.84948
68,0.558,900.94226,-256.01126,1576.61548,-53.65189,24.90086,1311.54858,-809.69171,53.13218,1322.27527,596.16309,-121.86378,0.96987,-52.85733,178.51471,117.14189,-467.10492,223.47925,-3.77445,-1217.84607,-111.05606,40.62434
69,0.567,902.31256,-256.79440,1572.72778,-53.39072,25.49014,1308.15784,-809.22290,54.64495,1321.04944,570.82813,-120.17065,0.68645,-29.80341,183.18137,125.33327,-489.71310,225.70134,-4.25542,-1206.23157,-111.63874,40.49345
70,0.575,904.03857,-257.60791,1568.45789,-53.27185,26.22368,1304.46021,-809.01697,55.82944,1319.58875,545.74451,-118.51073,0.44547,-6.08266,187.27722,132.64232,-514.50177,227.35808,-4.56295,-1190.51221,-112.98970,38.43039
71,0.583,906.12915,-258.42963,1563.86536,-53.31111,27.12692,1300.53674,-809.10370,56.63858,1317.92529,520.88855,-116.78799,0.18423,17.68550,190.58632,139.20557,-539.87103,228.85771,-4.79063,-1170.76831,-114.71611,34.87941
72,0.592,908.56195,-259.21902,1559.02747,-53.54025,28.16088,1296.45178,-809.48224,57.09719,1316.08557,496.15036,-114.98508,-0.09156,41.16460,193.13837,145.07556,-564.98914,230.39517,-4.96058,-1147.22729,-116.43900,30.56374
73,0.600,911.27832,-259.92581,1554.04346,-54.01874,29.23269,1292.26709,-810.10651,57.29539,1314.07104,471.47455,-113.13142,-0.37719,64.40340,195.03502,150.26735,-589.79614,232.20494,-5.02558,-1120.34619,-117.93032,26.31059
74,0.608,914.18262,-260.49622,1549.02722,-54.81841,30.26162,1288.05566,-810.88330,57.37800,1311.84155,446.87805,-111.27142,-0.68472,87.79422,196.36983,154.79860,-614.48157,234.55753,-4.87703,-1090.76917,-119.14885,22.91935
75,0.617,917.14771,-260.87888,1544.09497,-55.98655,31.26163,1283.91394,-811.70319,57.50343,1309.34485,422.39240,-109.43497,-1.00480,111.84467,197.21597,158.65762,-639.16736,237.52142,-4.42781,-1059.23035,-120.02541,20.89902
